,date,gateway,chain,relays,relays_norm
156,2022-06-29,ap-east-1,0021,4591643,0.08704081405563667
129,2022-06-29,us-west-2,0040,16516881,0.05836117605263383
154,2022-06-29,us-east-2,0049,2403158,0.05164740633054131
126,2022-06-29,eu-west-3,0040,12764188,0.04510131319811023
125,2022-06-29,eu-west-2,0040,13428073,0.04744710168951504
124,2022-06-29,eu-west-1,0040,1012975,0.0035792721587033748
123,2022-06-29,eu-south-1,0040,13508834,0.04773246470322125
122,2022-06-29,eu-north-1,0040,7350771,0.025973405054719182
121,2022-06-29,eu-central-1,0040,78992648,0.2791146728484472
120,2022-06-29,ca-central-1,0040,12937794,0.045714737144785966
119,2022-06-29,ap-southeast-1,0040,29065754,0.10270168964083146
118,2022-06-29,ap-northeast-2,0040,3380484,0.011944689912527178
116,2022-06-29,us-west-2,0009,8343090,0.03541274926462036
115,2022-06-29,us-east-2,0009,6308850,0.02677829475627138
114,2022-06-29,us-east-1,0009,28039335,0.11901465043547343
113,2022-06-29,eu-west-3,0009,6719099,0.028519621407795123
112,2022-06-29,eu-west-2,0009,5346116,0.02269191216294864
111,2022-06-29,eu-west-1,0009,448403,0.0019032736082798538
110,2022-06-29,eu-south-1,0009,17526997,0.0743943970546588
109,2022-06-29,eu-north-1,0009,17665886,0.07498391980134066
108,2022-06-29,eu-central-1,0009,43166209,0.18322158049609905
107,2022-06-29,ca-central-1,0009,2090981,0.008875295108896722
106,2022-06-29,ap-southeast-1,0009,39189145,0.16634069221114128
105,2022-06-29,ap-northeast-2,0009,7244881,0.03075133485375467
104,2022-06-29,ap-east-1,0009,26884537,0.11411304059723783
155,2022-06-29,us-west-2,0049,4093212,0.08796915698470416
127,2022-06-29,us-east-1,0040,46466051,0.16418435071861703
128,2022-06-29,us-east-2,0040,27003637,0.09541535190684106
117,2022-06-29,ap-east-1,0040,12134670,0.042876957956566625
130,2022-06-29,ap-east-1,0004,2414596,0.04836943298374511
152,2022-06-29,eu-west-3,0049,1560359,0.033534414006285526
151,2022-06-29,eu-west-2,0049,986053,0.02119173186051406
150,2022-06-29,eu-west-1,0049,221481,0.004759953029095307
149,2022-06-29,eu-south-1,0049,2412925,0.05185731355163555
148,2022-06-29,eu-north-1,0049,925583,0.019892142461561586
147,2022-06-29,eu-central-1,0049,2584119,0.055536524855823916
146,2022-06-29,ca-central-1,0049,925194,0.019883782278393197
145,2022-06-29,ap-southeast-1,0049,12931930,0.27792623013056866
144,2022-06-29,ap-northeast-2,0049,1050420,0.022575073531464516
143,2022-06-29,ap-east-1,0049,2770251,0.0595367757902678
142,2022-06-29,us-west-2,0004,674782,0.013517301746394633
153,2022-06-29,us-east-1,0049,7896263,0.16970232654441328
140,2022-06-29,us-east-1,0004,2171249,0.043494681096350525
141,2022-06-29,us-east-2,0004,627894,0.012578036555140344
132,2022-06-29,ap-southeast-1,0004,6324684,0.12669671401814836
133,2022-06-29,ca-central-1,0004,256589,0.005140016980010807
134,2022-06-29,eu-central-1,0004,14398271,0.28842763104730595
135,2022-06-29,eu-north-1,0004,5683618,0.11385481461752087
131,2022-06-29,ap-northeast-2,0004,1323977,0.026522042102910755
137,2022-06-29,eu-west-1,0004,629713,0.012614474948394301
138,2022-06-29,eu-west-2,0004,3371462,0.06753747014665942
139,2022-06-29,eu-west-3,0004,1961811,0.03929919775037894
136,2022-06-29,eu-south-1,0004,4384898,0.08783872331088015
275,2022-06-30,ap-southeast-1,0027,80886454,0.662496672423845
283,2022-06-30,us-east-1,0027,989789,0.008106819949131719
282,2022-06-30,eu-west-3,0027,984514,0.008063615311343595
281,2022-06-30,eu-west-2,0027,609077,0.0049886163355597
280,2022-06-30,eu-west-1,0027,4707,3.855246067653106e-05
279,2022-06-30,eu-south-1,0027,356164,0.0029171443816435115
278,2022-06-30,eu-north-1,0027,533932,0.004373144770329633
284,2022-06-30,us-east-2,0027,4022198,0.032943622313197765
277,2022-06-30,eu-central-1,0027,3702944,0.030328787539281206
276,2022-06-30,ca-central-1,0027,42585,0.00034879042657957833
274,2022-06-30,ap-northeast-2,0027,18827,0.000154201652253463
268,2022-06-30,eu-west-2,0021,1942463,0.03306733074281398
272,2022-06-30,us-west-2,0021,1089186,0.01854165237764765
271,2022-06-30,us-east-2,0021,7299064,0.12425490905153241
270,2022-06-30,us-east-1,0021,5559366,0.09463932864736925
269,2022-06-30,eu-west-3,0021,1613947,0.02747487043530425
267,2022-06-30,eu-west-1,0021,239870,0.0040834037123377845
266,2022-06-30,eu-south-1,0021,711808,0.0121173945456778
265,2022-06-30,eu-north-1,0021,5690292,0.09686813472750239
264,2022-06-30,eu-central-1,0021,7109907,0.12103481318287573
263,2022-06-30,ca-central-1,0021,999545,0.01701565749634665
262,2022-06-30,ap-southeast-1,0021,12266202,0.20881250170127635
285,2022-06-30,us-west-2,0027,350915,0.00287415269562458
273,2022-06-30,ap-east-1,0027,6122604,0.050146898225615424
286,2022-06-30,ap-east-1,03DF,36610,0.00730386741874622
311,2022-06-30,us-west-2,0005,132551,0.0030645500815492475
288,2022-06-30,ap-southeast-1,03DF,19175,0.0038255028067320073
261,2022-06-30,ap-northeast-2,0021,471184,0.008021155187368853
310,2022-06-30,us-east-2,0005,545969,0.012622683672498592
309,2022-06-30,us-east-1,0005,9243261,0.21370216936372396
308,2022-06-30,eu-west-3,0005,2173524,0.050251398717846306
307,2022-06-30,eu-west-2,0005,2461472,0.05690869339598486
306,2022-06-30,eu-west-1,0005,50573,0.0011692366807809075
305,2022-06-30,eu-south-1,0005,1665648,0.0385094168601696
304,2022-06-30,eu-north-1,0005,752469,0.01739691843375969
303,2022-06-30,eu-central-1,0005,12376854,0.2861501530356099
302,2022-06-30,ca-central-1,0005,437755,0.010120799699350369
301,2022-06-30,ap-southeast-1,0005,11657601,0.269521181245095
300,2022-06-30,ap-northeast-2,0005,116977,0.0027044826134045483
299,2022-06-30,ap-east-1,0005,1897954,0.043880280688012314
298,2022-06-30,us-west-2,03DF,723417,0.14432509851043798
297,2022-06-30,us-east-2,03DF,468222,0.09341249414204296
296,2022-06-30,us-east-1,03DF,187193,0.037345885105636745
295,2022-06-30,eu-west-3,03DF,25108,0.00500916424883584
294,2022-06-30,eu-west-2,03DF,7928,0.0015816733377716481
