,date,chain,relays,nodes
245,2022-08-01,0027,145452698,13452
247,2022-08-01,0005,23942868,5270
244,2022-08-01,0021,201466552,11650
242,2022-08-01,0004,70377788,3067
241,2022-08-01,0040,231064979,13125
240,2022-08-01,0009,248331580,13820
243,2022-08-01,0049,32469406,6736
248,2022-08-02,0009,245348970,14073
249,2022-08-02,0040,229663558,13509
250,2022-08-02,0004,74452474,3084
251,2022-08-02,0049,31443243,6903
252,2022-08-02,0021,177989201,12012
253,2022-08-02,0027,137844791,13793
254,2022-08-02,03DF,32443301,4972
255,2022-08-02,0005,24466995,5397
263,2022-08-05,0005,28529413,5352
262,2022-08-05,03DF,32767720,5042
261,2022-08-05,0027,96530926,13567
260,2022-08-05,0021,291447082,11896
259,2022-08-05,0049,33070376,6916
257,2022-08-05,0040,219435502,13388
256,2022-08-05,0009,248717242,13871
258,2022-08-05,0004,64673550,3162
264,2022-08-06,0009,245438095,13887
265,2022-08-06,0040,219217858,13212
266,2022-08-06,0004,59410404,3106
267,2022-08-06,0049,34000243,6915
268,2022-08-06,0021,210350673,11809
269,2022-08-06,0027,81495336,13502
270,2022-08-06,03DF,35428434,5017
271,2022-08-06,0005,29238674,5345
277,2022-08-07,0027,88648839,13194
279,2022-08-07,0005,28468493,5208
278,2022-08-07,03DF,44137948,4887
276,2022-08-07,0021,209426552,11493
275,2022-08-07,0049,32111585,6666
274,2022-08-07,0004,56794339,3017
273,2022-08-07,0040,222870299,12932
272,2022-08-07,0009,232406719,13559
280,2022-08-08,0009,230313509,13983
281,2022-08-08,0040,249370340,13378
282,2022-08-08,0004,55057620,3113
283,2022-08-08,0049,32035067,7022
284,2022-08-08,0021,305264697,11914
285,2022-08-08,0027,86761583,13739
286,2022-08-08,03DF,44441639,5143
287,2022-08-08,0005,29132450,5414
295,2022-08-09,0005,30348534,5081
294,2022-08-09,03DF,42305935,4802
293,2022-08-09,0027,86450863,13031
292,2022-08-09,0021,226711857,11319
290,2022-08-09,0004,59135187,2968
289,2022-08-09,0040,251735735,12694
288,2022-08-09,0009,230170545,13376
291,2022-08-09,0049,31737947,6669
296,2022-08-10,0009,224356003,13172
297,2022-08-10,0040,245730946,12639
298,2022-08-10,0004,55794474,2917
299,2022-08-10,0049,31848374,6442
300,2022-08-10,0021,164165800,11075
301,2022-08-10,0027,83927569,12881
302,2022-08-10,03DF,33579993,4728
303,2022-08-10,0005,30727172,5035
309,2022-08-11,0027,67851060,13497
311,2022-08-11,0005,30949726,5343
310,2022-08-11,03DF,35086042,5013
308,2022-08-11,0021,148815222,11794
307,2022-08-11,0049,32735349,6852
306,2022-08-11,0004,53962611,2982
305,2022-08-11,0040,256405530,13276
304,2022-08-11,0009,224884688,13832
312,2022-08-12,0009,230818571,13602
313,2022-08-12,0040,193183294,13003
314,2022-08-12,0004,59539351,3058
315,2022-08-12,0049,32517320,6704
316,2022-08-12,0021,126968257,11544
317,2022-08-12,0027,79392818,13228
318,2022-08-12,03DF,39562137,4857
319,2022-08-12,0005,30407576,5219
327,2022-08-13,0005,30484340,5239
326,2022-08-13,03DF,35699502,4867
325,2022-08-13,0027,85501464,13367
324,2022-08-13,0021,90456508,11586
323,2022-08-13,0049,33538925,6742
322,2022-08-13,0004,58302999,3036
321,2022-08-13,0040,166964451,13078
320,2022-08-13,0009,225049673,13615
328,2022-08-14,0009,220350613,13630
329,2022-08-14,0040,153002296,13111
330,2022-08-14,0004,60839550,3089
331,2022-08-14,0049,33253958,6690
332,2022-08-14,0021,79535831,11544
333,2022-08-14,0027,86649090,13329
334,2022-08-14,03DF,25253644,4924
335,2022-08-14,0005,29703406,5243
342,2022-08-15,03DF,26850251,4838
341,2022-08-15,0027,85953842,12980
340,2022-08-15,0021,85472479,11371
343,2022-08-15,0005,28645865,5112
338,2022-08-15,0004,61149984,3024
337,2022-08-15,0040,153291933,12800
336,2022-08-15,0009,226750299,13366
339,2022-08-15,0049,33411143,6550
344,2022-08-16,0009,236188041,13449
345,2022-08-16,0040,155944836,12778
346,2022-08-16,0004,71882240,2981
347,2022-08-16,0049,35007112,6577
348,2022-08-16,0021,85770554,11293
349,2022-08-16,0027,83905531,13063
350,2022-08-16,03DF,33682735,4807
