,date,chain,provider,total_relays,nodes_staked,total_sessions
373,2022-07-01,0021,P8,2453333,1006,357
388,2022-07-01,0027,P10,24888,341,136
371,2022-07-01,0021,P4,3586190,2845,928
370,2022-07-01,0021,P13,786592,245,96
369,2022-07-01,0021,P12,6028883,1591,638
368,2022-07-01,0021,P11,197461,218,85
367,2022-07-01,0021,P7,60074,101,38
366,2022-07-01,0021,P6,494394,924,318
377,2022-07-01,0027,P1,433011,151,73
389,2022-07-01,0027,P14,3260252,949,466
395,2022-07-01,03DF,P12,378250,1591,294
391,2022-07-01,03DF,P2,97953,255,61
365,2022-07-01,0021,P2,1409462,255,120
414,2022-07-01,0005,P10,554733,435,73
413,2022-07-01,0005,P9,193129,628,37
412,2022-07-01,0005,P8,1087393,1006,192
411,2022-07-01,0005,P5,0,0,0
410,2022-07-01,0005,P4,1452347,2845,463
409,2022-07-01,0005,P13,258772,245,44
408,2022-07-01,0005,P12,2484125,1591,354
407,2022-07-01,0005,P11,210356,218,42
406,2022-07-01,0005,P7,161372,101,29
405,2022-07-01,0005,P6,757859,924,160
404,2022-07-01,0005,P2,493334,255,56
403,2022-07-01,0005,P1,232661,151,34
415,2022-07-01,0005,P14,1459309,949,191
401,2022-07-01,03DF,P10,6109,94,10
400,2022-07-01,03DF,P9,0,0,0
399,2022-07-01,03DF,P8,0,0,0
398,2022-07-01,03DF,P5,57512,4315,744
397,2022-07-01,03DF,P4,64981,2833,416
396,2022-07-01,03DF,P13,60650,245,54
394,2022-07-01,03DF,P11,64896,212,48
393,2022-07-01,03DF,P7,0,0,0
392,2022-07-01,03DF,P6,0,0,0
390,2022-07-01,03DF,P1,50565,151,31
402,2022-07-01,03DF,P14,305754,949,183
364,2022-07-01,0021,P1,440806,151,57
362,2022-07-01,0049,P10,531322,341,81
334,2022-07-01,0040,P8,5674067,1006,378
333,2022-07-01,0040,P5,37455852,7632,3475
332,2022-07-01,0040,P4,11938584,2845,1027
331,2022-07-01,0040,P13,2906472,245,146
330,2022-07-01,0040,P12,16874530,1591,736
329,2022-07-01,0040,P11,2015219,218,96
328,2022-07-01,0040,P7,1366890,101,56
327,2022-07-01,0040,P6,9118703,924,412
326,2022-07-01,0040,P2,3339767,255,125
325,2022-07-01,0040,P1,2488098,151,88
323,2022-07-01,0009,P10,1942227,437,176
322,2022-07-01,0009,P9,695288,457,63
321,2022-07-01,0009,P8,5049275,986,418
320,2022-07-01,0009,P5,36542399,7631,3535
319,2022-07-01,0009,P4,15724019,2842,1068
318,2022-07-01,0009,P13,1763525,245,135
317,2022-07-01,0009,P12,13556873,1591,842
316,2022-07-01,0009,P11,1514865,217,106
315,2022-07-01,0009,P7,989554,101,61
314,2022-07-01,0009,P6,6334363,924,398
313,2022-07-01,0009,P2,2928950,255,144
312,2022-07-01,0009,P1,1446067,151,72
363,2022-07-01,0049,P14,2351030,949,272
335,2022-07-01,0040,P9,1084620,628,71
336,2022-07-01,0040,P10,2494399,437,173
324,2022-07-01,0009,P14,11030656,949,521
338,2022-07-01,0004,P1,498863,151,28
337,2022-07-01,0040,P14,12807051,949,449
360,2022-07-01,0049,P8,696741,524,149
359,2022-07-01,0049,P5,11565668,7628,2132
358,2022-07-01,0049,P4,139242,1879,419
357,2022-07-01,0049,P13,307115,245,71
356,2022-07-01,0049,P12,2888300,1591,457
355,2022-07-01,0049,P11,507157,213,62
354,2022-07-01,0049,P7,338184,101,40
353,2022-07-01,0049,P6,2155624,924,228
352,2022-07-01,0049,P2,920696,255,89
351,2022-07-01,0049,P1,445327,151,45
350,2022-07-01,0004,P14,2045333,949,132
361,2022-07-01,0049,P9,36578,87,4
348,2022-07-01,0004,P9,473449,628,33
347,2022-07-01,0004,P8,1138768,1006,109
346,2022-07-01,0004,P5,10569003,7612,1139
345,2022-07-01,0004,P4,0,0,0
344,2022-07-01,0004,P13,482659,245,39
343,2022-07-01,0004,P12,3520545,1591,237
342,2022-07-01,0004,P11,608621,215,35
341,2022-07-01,0004,P7,203728,101,12
340,2022-07-01,0004,P6,2291388,924,125
339,2022-07-01,0004,P2,617095,255,34
349,2022-07-01,0004,P10,0,0,0
493,2022-07-02,0027,P14,5201062,949,495
484,2022-07-02,0027,P7,484457,101,41
485,2022-07-02,0027,P11,1045584,218,101
486,2022-07-02,0027,P12,157583,1587,821
487,2022-07-02,0027,P13,25279,245,127
492,2022-07-02,0027,P10,26122,341,140
489,2022-07-02,0027,P5,30169320,3670,2886
490,2022-07-02,0027,P8,1495453,1006,408
491,2022-07-02,0027,P9,367065,628,101
483,2022-07-02,0027,P6,5253216,990,404
488,2022-07-02,0027,P4,22060297,2845,1157
482,2022-07-02,0027,P2,1272999,255,137
476,2022-07-02,0021,P5,12890762,3670,2408
480,2022-07-02,0021,P14,4535209,949,402
479,2022-07-02,0021,P10,32797,437,162
478,2022-07-02,0021,P9,574556,628,71
477,2022-07-02,0021,P8,2929698,1006,342
475,2022-07-02,0021,P4,5513671,2845,1039
474,2022-07-02,0021,P13,980390,245,103
473,2022-07-02,0021,P12,7725932,1587,694
472,2022-07-02,0021,P11,790379,218,111
471,2022-07-02,0021,P7,303549,101,41
470,2022-07-02,0021,P6,2881337,990,347
481,2022-07-02,0027,P1,999713,151,94
494,2022-07-02,03DF,P1,66485,151,37
469,2022-07-02,0021,P2,1183687,255,110
496,2022-07-02,03DF,P6,0,0,0
519,2022-07-02,0005,P14,1698769,949,200
518,2022-07-02,0005,P10,496265,435,68
517,2022-07-02,0005,P9,194213,628,38
516,2022-07-02,0005,P8,973917,1006,166
515,2022-07-02,0005,P5,0,0,0
514,2022-07-02,0005,P4,2315620,2845,501
513,2022-07-02,0005,P13,294989,245,45
512,2022-07-02,0005,P12,2848602,1587,357
511,2022-07-02,0005,P11,156152,218,35
510,2022-07-02,0005,P7,115544,101,24
509,2022-07-02,0005,P6,962092,990,188
508,2022-07-02,0005,P2,471641,255,46
507,2022-07-02,0005,P1,369755,151,39
506,2022-07-02,03DF,P14,327237,949,194
505,2022-07-02,03DF,P10,3538,94,21
504,2022-07-02,03DF,P9,0,0,0
503,2022-07-02,03DF,P8,0,0,0
502,2022-07-02,03DF,P5,52588,2468,651
501,2022-07-02,03DF,P4,36553,2833,474
500,2022-07-02,03DF,P13,68095,245,50
499,2022-07-02,03DF,P12,430006,1587,305
498,2022-07-02,03DF,P11,71511,212,52
497,2022-07-02,03DF,P7,0,0,0
495,2022-07-02,03DF,P2,101829,255,62
468,2022-07-02,0021,P1,649458,151,60
441,2022-07-02,0040,P14,14173052,949,472
466,2022-07-02,0049,P10,229955,341,87
438,2022-07-02,0040,P8,7127283,1006,415
437,2022-07-02,0040,P5,33716576,3670,2730
436,2022-07-02,0040,P4,14047486,2845,1194
435,2022-07-02,0040,P13,2617400,245,127
434,2022-07-02,0040,P12,22122305,1587,816
433,2022-07-02,0040,P11,2554784,218,117
432,2022-07-02,0040,P7,1139932,101,44
431,2022-07-02,0040,P6,9655564,990,402
430,2022-07-02,0040,P2,3532084,255,123
429,2022-07-02,0040,P1,2577796,151,84
428,2022-07-02,0009,P14,7557479,949,527
427,2022-07-02,0009,P10,1641890,437,191
426,2022-07-02,0009,P9,611048,457,70
425,2022-07-02,0009,P8,3263956,986,383
424,2022-07-02,0009,P5,18834303,3669,2874
423,2022-07-02,0009,P4,10786529,2842,1260
422,2022-07-02,0009,P13,1312482,245,140
421,2022-07-02,0009,P12,10131787,1587,886
420,2022-07-02,0009,P11,1158499,217,111
419,2022-07-02,0009,P7,451960,101,43
418,2022-07-02,0009,P6,4467375,990,421
417,2022-07-02,0009,P2,1803274,255,131
416,2022-07-02,0009,P1,1097356,151,81
439,2022-07-02,0040,P9,1584780,628,90
440,2022-07-02,0040,P10,2789555,437,177
467,2022-07-02,0049,P14,1092427,949,289
442,2022-07-02,0004,P1,484761,151,22
464,2022-07-02,0049,P8,319707,524,142
463,2022-07-02,0049,P5,5331594,3666,1773
462,2022-07-02,0049,P4,56907,1879,509
461,2022-07-02,0049,P13,150617,245,72
460,2022-07-02,0049,P12,1354003,1587,500
459,2022-07-02,0049,P11,260403,213,66
458,2022-07-02,0049,P7,129503,101,41
457,2022-07-02,0049,P6,836266,990,245
456,2022-07-02,0049,P2,326826,255,83
455,2022-07-02,0049,P1,215663,151,58
454,2022-07-02,0004,P14,2734567,949,155
465,2022-07-02,0049,P9,9410,87,5
452,2022-07-02,0004,P9,593654,628,36
451,2022-07-02,0004,P8,1730229,1006,125
450,2022-07-02,0004,P5,7626410,3659,804
449,2022-07-02,0004,P4,0,0,0
448,2022-07-02,0004,P13,594448,245,42
447,2022-07-02,0004,P12,4891968,1587,253
446,2022-07-02,0004,P11,696223,215,44
445,2022-07-02,0004,P7,248562,101,15
444,2022-07-02,0004,P6,2241084,990,137
443,2022-07-02,0004,P2,739029,255,30
453,2022-07-02,0004,P10,0,0,0
588,2022-07-03,0027,P7,0,0,0
589,2022-07-03,0027,P11,1297374,218,106
590,2022-07-03,0027,P12,164470,1589,892
591,2022-07-03,0027,P13,21574,245,117
596,2022-07-03,0027,P10,28164,341,154
593,2022-07-03,0027,P5,27324813,3670,2086
594,2022-07-03,0027,P8,1552685,1006,432
595,2022-07-03,0027,P9,352245,628,90
587,2022-07-03,0027,P6,7135312,990,541
592,2022-07-03,0027,P4,30419001,2845,1494
586,2022-07-03,0027,P2,1570302,255,182
580,2022-07-03,0021,P5,19220858,3670,1689
583,2022-07-03,0021,P10,38526,437,174
582,2022-07-03,0021,P9,1468346,628,69
581,2022-07-03,0021,P8,7632277,1006,347
579,2022-07-03,0021,P4,9329290,2845,1194
578,2022-07-03,0021,P13,3131803,245,127
577,2022-07-03,0021,P12,23150973,1589,792
576,2022-07-03,0021,P11,963878,218,89
575,2022-07-03,0021,P7,0,0,0
574,2022-07-03,0021,P6,6406571,990,486
597,2022-07-03,0027,P14,6490178,949,541
584,2022-07-03,0021,P14,9823945,949,409
598,2022-07-03,03DF,P1,63461,152,35
610,2022-07-03,03DF,P14,357382,949,199
600,2022-07-03,03DF,P6,0,0,0
623,2022-07-03,0005,P14,1504934,949,182
622,2022-07-03,0005,P10,568292,435,83
621,2022-07-03,0005,P9,169122,628,35
620,2022-07-03,0005,P8,811475,1006,152
619,2022-07-03,0005,P5,0,0,0
618,2022-07-03,0005,P4,3236389,2845,552
617,2022-07-03,0005,P13,374867,245,65
